frame.frame.encap_type,frame.frame.time,frame.frame.time_utc,frame.frame.time_epoch,frame.frame.offset_shift,frame.frame.time_delta,frame.frame.time_delta_displayed,frame.frame.time_relative,frame.frame.number,frame.frame.len,frame.frame.cap_len,frame.frame.marked,frame.frame.ignored,frame.frame.protocols,frame.frame.coloring_rule.name,frame.frame.coloring_rule.string,eth.eth.dst,eth.eth.dst_tree.eth.dst_resolved,eth.eth.dst_tree.eth.dst.oui,eth.eth.dst_tree.eth.dst.oui_resolved,eth.eth.dst_tree.eth.dst.lg,eth.eth.dst_tree.eth.dst.ig,eth.eth.dst_tree.eth.addr,eth.eth.dst_tree.eth.addr_resolved,eth.eth.dst_tree.eth.addr.oui,eth.eth.dst_tree.eth.addr.oui_resolved,eth.eth.dst_tree.eth.lg,eth.eth.dst_tree.eth.ig,eth.eth.src,eth.eth.src_tree.eth.src_resolved,eth.eth.src_tree.eth.src.oui,eth.eth.src_tree.eth.src.oui_resolved,eth.eth.src_tree.eth.src.lg,eth.eth.src_tree.eth.src.ig,eth.eth.src_tree.eth.addr,eth.eth.src_tree.eth.addr_resolved,eth.eth.src_tree.eth.addr.oui,eth.eth.src_tree.eth.addr.oui_resolved,eth.eth.src_tree.eth.lg,eth.eth.src_tree.eth.ig,eth.eth.type,eth.eth.stream,ip.ip.version,ip.ip.hdr_len,ip.ip.dsfield,ip.ip.dsfield_tree.ip.dsfield.dscp,ip.ip.dsfield_tree.ip.dsfield.ecn,ip.ip.len,ip.ip.id,ip.ip.flags,ip.ip.flags_tree.ip.flags.rb,ip.ip.flags_tree.ip.flags.df,ip.ip.flags_tree.ip.flags.mf,ip.ip.frag_offset,ip.ip.ttl,ip.ip.proto,ip.ip.checksum,ip.ip.checksum.status,ip.ip.checksum_calculated,ip.ip.src,ip.ip.addr,ip.ip.src_host,ip.ip.host,ip.ip.dst,ip.ip.dst_host,ip.ip.stream,tcp.tcp.srcport,tcp.tcp.dstport,tcp.tcp.port,tcp.tcp.stream,tcp.tcp.stream.pnum,tcp.tcp.completeness,tcp.tcp.completeness_tree.tcp.completeness.rst,tcp.tcp.completeness_tree.tcp.completeness.fin,tcp.tcp.completeness_tree.tcp.completeness.data,tcp.tcp.completeness_tree.tcp.completeness.ack,tcp.tcp.completeness_tree.tcp.completeness.syn-ack,tcp.tcp.completeness_tree.tcp.completeness.syn,tcp.tcp.completeness_tree.tcp.completeness.str,tcp.tcp.len,tcp.tcp.seq,tcp.tcp.seq_raw,tcp.tcp.nxtseq,tcp.tcp.ack,tcp.tcp.ack_raw,tcp.tcp.hdr_len,tcp.tcp.flags,tcp.tcp.flags_tree.tcp.flags.res,tcp.tcp.flags_tree.tcp.flags.ae,tcp.tcp.flags_tree.tcp.flags.cwr,tcp.tcp.flags_tree.tcp.flags.ece,tcp.tcp.flags_tree.tcp.flags.urg,tcp.tcp.flags_tree.tcp.flags.ack,tcp.tcp.flags_tree.tcp.flags.push,tcp.tcp.flags_tree.tcp.flags.reset,tcp.tcp.flags_tree.tcp.flags.syn,tcp.tcp.flags_tree.tcp.flags.fin,tcp.tcp.flags_tree.tcp.flags.str,tcp.tcp.window_size_value,tcp.tcp.window_size,tcp.tcp.window_size_scalefactor,tcp.tcp.checksum,tcp.tcp.checksum.status,tcp.tcp.urgent_pointer,tcp.tcp.options,tcp.tcp.options_tree.tcp.options.nop,tcp.tcp.options_tree.tcp.options.nop_tree.tcp.option_kind,tcp.tcp.options_tree.tcp.options.timestamp,tcp.tcp.options_tree.tcp.options.timestamp_tree.tcp.option_kind,tcp.tcp.options_tree.tcp.options.timestamp_tree.tcp.option_len,tcp.tcp.options_tree.tcp.options.timestamp_tree.tcp.options.timestamp.tsval,tcp.tcp.options_tree.tcp.options.timestamp_tree.tcp.options.timestamp.tsecr,tcp.Timestamps.tcp.time_relative,tcp.Timestamps.tcp.time_delta,tcp.tcp.payload,tcp.tcp.pdu.size,doip.Header.doip.version,doip.Header.doip.inverse,doip.Header.doip.type,doip.Header.doip.length,doip.doip.source_address,doip.doip.target_address,uds.uds.diag_addr_source,uds.uds.diag_addr_source_name,uds.uds.diag_addr,uds.uds.diag_addr_name,uds.uds.diag_addr_target,uds.uds.diag_addr_target_name,uds.uds.sid,uds.uds.reply,uds.uds.subfunction,uds.uds.subfunction_tree.uds.tp.subfunction_without_suppress,uds.uds.subfunction_tree.uds.suppress_reply.indication,uds.uds.rdbi.data_identifier,uds.uds.did_f190.vin,uds.uds.dsc.suppress_reply.indication,uds.uds.dsc.subfunction,uds.uds.dsc.parameter_record,uds.uds.dsc.parameter_record_tree.uds.dsc.p2_server_time_default,uds.uds.dsc.parameter_record_tree.uds.dsc.p2_server_time_enhanced,_ws.malformed._ws.expert._ws.malformed.expert,_ws.malformed._ws.expert._ws.expert.message,_ws.malformed._ws.expert._ws.expert.severity,_ws.malformed._ws.expert._ws.expert.group,_ws.malformed._ws.malformed,uds.uds.sa.subfunction,uds.uds.sa.seed,uds.uds.err.sid,uds.uds.err.code
1,"Sep 18, 2024 11:35:32.199473000 W. Europe Daylight Time","Sep 18, 2024 09:35:32.199473000 UTC",1726652132.199473000,0.000000000,0.000663000,0.000000000,0.020307000,10,80,80,0,0,eth:ethertype:ip:tcp:doip:uds,TCP,tcp,00:00:00:00:00:00,00:00:00_00:00:00,0,"Officially Xerox, but 0:0:0:0:0:0 is more common",0,0,00:00:00:00:00:00,00:00:00_00:00:00,0,"Officially Xerox, but 0:0:0:0:0:0 is more common",0,0,00:00:00:00:00:00,00:00:00_00:00:00,0,"Officially Xerox, but 0:0:0:0:0:0 is more common",0,0,00:00:00:00:00:00,00:00:00_00:00:00,0,"Officially Xerox, but 0:0:0:0:0:0 is more common",0,0,0x0800,0,4,20,0x00,0,0,66,0xc41a,0x02,0,1,0,0,64,6,0x7899,1,0x7899,127.0.0.1,127.0.0.1,kubernetes.docker.internal,kubernetes.docker.internal,127.0.0.1,kubernetes.docker.internal,0,33718,13400,13400,0,8,31,0,1,1,1,1,1,·FDASS,14,339061292,339061292,339061306,2137157136,2137157136,32,0x0018,0,0,0,0,0,1,1,0,0,0,·······AP···,512,65536,128,0xfe36,2,0,01:01:08:0a:dc:4b:e1:37:dc:4b:e1:35,01,1,08:0a:dc:4b:e1:37:dc:4b:e1:35,8,10,3695960375,3695960373,0.020307000,0.002853000,02:fd:80:01:00:00:00:06:0e:00:10:32:3e:00,14,0x02,0xfd,0x8001,6,0x0e00,0x1032,0x0e00,3584,0x1032,4146,0x1032,4146,0x3e,0x00,0x00,0x00,0,,,,,,,,,,,,,,,,
1,"Sep 18, 2024 11:35:32.203810000 W. Europe Daylight Time","Sep 18, 2024 09:35:32.203810000 UTC",1726652132.203810000,0.000000000,0.002674000,0.004337000,0.024644000,12,80,80,0,0,eth:ethertype:ip:tcp:doip:uds,TCP,tcp,00:00:00:00:00:00,00:00:00_00:00:00,0,"Officially Xerox, but 0:0:0:0:0:0 is more common",0,0,00:00:00:00:00:00,00:00:00_00:00:00,0,"Officially Xerox, but 0:0:0:0:0:0 is more common",0,0,00:00:00:00:00:00,00:00:00_00:00:00,0,"Officially Xerox, but 0:0:0:0:0:0 is more common",0,0,00:00:00:00:00:00,00:00:00_00:00:00,0,"Officially Xerox, but 0:0:0:0:0:0 is more common",0,0,0x0800,0,4,20,0x00,0,0,66,0x3672,0x02,0,1,0,0,64,6,0x0642,1,0x0642,127.0.0.1,127.0.0.1,kubernetes.docker.internal,kubernetes.docker.internal,127.0.0.1,kubernetes.docker.internal,0,13400,33718,33718,0,10,31,0,1,1,1,1,1,·FDASS,14,2137157149,2137157149,2137157163,339061306,339061306,32,0x0018,0,0,0,0,0,1,1,0,0,0,·······AP···,512,65536,128,0xfe36,2,0,01:01:08:0a:dc:4b:e1:3c:dc:4b:e1:37,01,1,08:0a:dc:4b:e1:3c:dc:4b:e1:37,8,10,3695960380,3695960375,0.024644000,0.002674000,02:fd:80:01:00:00:00:06:10:32:0e:00:7e:00,14,0x02,0xfd,0x8001,6,0x1032,0x0e00,0x1032,4146,0x0e00,3584,0x0e00,3584,0x3e,0x01,0x00,0x00,,,,,,,,,,,,,,,,,
1,"Sep 18, 2024 11:35:32.203968000 W. Europe Daylight Time","Sep 18, 2024 09:35:32.203968000 UTC",1726652132.203968000,0.000000000,0.000123000,0.000158000,0.024802000,14,80,80,0,0,eth:ethertype:ip:tcp:doip:uds,TCP,tcp,00:00:00:00:00:00,00:00:00_00:00:00,0,"Officially Xerox, but 0:0:0:0:0:0 is more common",0,0,00:00:00:00:00:00,00:00:00_00:00:00,0,"Officially Xerox, but 0:0:0:0:0:0 is more common",0,0,00:00:00:00:00:00,00:00:00_00:00:00,0,"Officially Xerox, but 0:0:0:0:0:0 is more common",0,0,00:00:00:00:00:00,00:00:00_00:00:00,0,"Officially Xerox, but 0:0:0:0:0:0 is more common",0,0,0x0800,0,4,20,0x00,0,0,66,0xc41c,0x02,0,1,0,0,64,6,0x7897,1,0x7897,127.0.0.1,127.0.0.1,kubernetes.docker.internal,kubernetes.docker.internal,127.0.0.1,kubernetes.docker.internal,0,33718,13400,13400,0,12,31,0,1,1,1,1,1,·FDASS,14,339061306,339061306,339061320,2137157163,2137157163,32,0x0018,0,0,0,0,0,1,1,0,0,0,·······AP···,512,65536,128,0xfe36,2,0,01:01:08:0a:dc:4b:e1:3c:dc:4b:e1:39,01,1,08:0a:dc:4b:e1:3c:dc:4b:e1:39,8,10,3695960380,3695960377,0.024802000,0.000123000,02:fd:80:01:00:00:00:06:0e:00:10:32:3e:80,14,0x02,0xfd,0x8001,6,0x0e00,0x1032,0x0e00,3584,0x1032,4146,0x1032,4146,0x3e,0x00,0x80,0x00,1,,,,,,,,,,,,,,,,
1,"Sep 18, 2024 11:35:32.206815000 W. Europe Daylight Time","Sep 18, 2024 09:35:32.206815000 UTC",1726652132.206815000,0.000000000,0.002054000,0.002847000,0.027649000,16,80,80,0,0,eth:ethertype:ip:tcp:doip:uds,TCP,tcp,00:00:00:00:00:00,00:00:00_00:00:00,0,"Officially Xerox, but 0:0:0:0:0:0 is more common",0,0,00:00:00:00:00:00,00:00:00_00:00:00,0,"Officially Xerox, but 0:0:0:0:0:0 is more common",0,0,00:00:00:00:00:00,00:00:00_00:00:00,0,"Officially Xerox, but 0:0:0:0:0:0 is more common",0,0,00:00:00:00:00:00,00:00:00_00:00:00,0,"Officially Xerox, but 0:0:0:0:0:0 is more common",0,0,0x0800,0,4,20,0x00,0,0,66,0x3674,0x02,0,1,0,0,64,6,0x0640,1,0x0640,127.0.0.1,127.0.0.1,kubernetes.docker.internal,kubernetes.docker.internal,127.0.0.1,kubernetes.docker.internal,0,13400,33718,33718,0,14,31,0,1,1,1,1,1,·FDASS,14,2137157176,2137157176,2137157190,339061320,339061320,32,0x0018,0,0,0,0,0,1,1,0,0,0,·······AP···,512,65536,128,0xfe36,2,0,01:01:08:0a:dc:4b:e1:3f:dc:4b:e1:3c,01,1,08:0a:dc:4b:e1:3f:dc:4b:e1:3c,8,10,3695960383,3695960380,0.027649000,0.002054000,02:fd:80:01:00:00:00:06:10:32:0e:00:7e:80,14,0x02,0xfd,0x8001,6,0x1032,0x0e00,0x1032,4146,0x0e00,3584,0x0e00,3584,0x3e,0x01,0x80,0x00,,,,,,,,,,,,,,,,,
1,"Sep 18, 2024 11:35:32.207089000 W. Europe Daylight Time","Sep 18, 2024 09:35:32.207089000 UTC",1726652132.207089000,0.000000000,0.000212000,0.000274000,0.027923000,18,81,81,0,0,eth:ethertype:ip:tcp:doip:uds,TCP,tcp,00:00:00:00:00:00,00:00:00_00:00:00,0,"Officially Xerox, but 0:0:0:0:0:0 is more common",0,0,00:00:00:00:00:00,00:00:00_00:00:00,0,"Officially Xerox, but 0:0:0:0:0:0 is more common",0,0,00:00:00:00:00:00,00:00:00_00:00:00,0,"Officially Xerox, but 0:0:0:0:0:0 is more common",0,0,00:00:00:00:00:00,00:00:00_00:00:00,0,"Officially Xerox, but 0:0:0:0:0:0 is more common",0,0,0x0800,0,4,20,0x00,0,0,67,0xc41e,0x02,0,1,0,0,64,6,0x7894,1,0x7894,127.0.0.1,127.0.0.1,kubernetes.docker.internal,kubernetes.docker.internal,127.0.0.1,kubernetes.docker.internal,0,33718,13400,13400,0,16,31,0,1,1,1,1,1,·FDASS,15,339061320,339061320,339061335,2137157190,2137157190,32,0x0018,0,0,0,0,0,1,1,0,0,0,·······AP···,512,65536,128,0xfe37,2,0,01:01:08:0a:dc:4b:e1:3f:dc:4b:e1:3d,01,1,08:0a:dc:4b:e1:3f:dc:4b:e1:3d,8,10,3695960383,3695960381,0.027923000,0.000212000,02:fd:80:01:00:00:00:07:0e:00:10:32:22:f1:90,15,0x02,0xfd,0x8001,7,0x0e00,0x1032,0x0e00,3584,0x1032,4146,0x1032,4146,0x22,0x00,,,,0xf190,,,,,,,,,,,,,,,
1,"Sep 18, 2024 11:35:32.210532000 W. Europe Daylight Time","Sep 18, 2024 09:35:32.210532000 UTC",1726652132.210532000,0.000000000,0.002007000,0.003443000,0.031366000,20,98,98,0,0,eth:ethertype:ip:tcp:doip:uds,TCP,tcp,00:00:00:00:00:00,00:00:00_00:00:00,0,"Officially Xerox, but 0:0:0:0:0:0 is more common",0,0,00:00:00:00:00:00,00:00:00_00:00:00,0,"Officially Xerox, but 0:0:0:0:0:0 is more common",0,0,00:00:00:00:00:00,00:00:00_00:00:00,0,"Officially Xerox, but 0:0:0:0:0:0 is more common",0,0,00:00:00:00:00:00,00:00:00_00:00:00,0,"Officially Xerox, but 0:0:0:0:0:0 is more common",0,0,0x0800,0,4,20,0x00,0,0,84,0x3676,0x02,0,1,0,0,64,6,0x062c,1,0x062c,127.0.0.1,127.0.0.1,kubernetes.docker.internal,kubernetes.docker.internal,127.0.0.1,kubernetes.docker.internal,0,13400,33718,33718,0,18,31,0,1,1,1,1,1,·FDASS,32,2137157203,2137157203,2137157235,339061335,339061335,32,0x0018,0,0,0,0,0,1,1,0,0,0,·······AP···,512,65536,128,0xfe48,2,0,01:01:08:0a:dc:4b:e1:42:dc:4b:e1:3f,01,1,08:0a:dc:4b:e1:42:dc:4b:e1:3f,8,10,3695960386,3695960383,0.031366000,0.002007000,02:fd:80:01:00:00:00:18:10:32:0e:00:62:f1:90:4d:41:54:31:32:33:34:35:36:37:38:39:30:31:32:33:34,32,0x02,0xfd,0x8001,24,0x1032,0x0e00,0x1032,4146,0x0e00,3584,0x0e00,3584,0x22,0x01,,,,0xf190,MAT12345678901234,,,,,,,,,,,,,,
1,"Sep 18, 2024 11:35:32.211014000 W. Europe Daylight Time","Sep 18, 2024 09:35:32.211014000 UTC",1726652132.211014000,0.000000000,0.000404000,0.000482000,0.031848000,22,80,80,0,0,eth:ethertype:ip:tcp:doip:uds,TCP,tcp,00:00:00:00:00:00,00:00:00_00:00:00,0,"Officially Xerox, but 0:0:0:0:0:0 is more common",0,0,00:00:00:00:00:00,00:00:00_00:00:00,0,"Officially Xerox, but 0:0:0:0:0:0 is more common",0,0,00:00:00:00:00:00,00:00:00_00:00:00,0,"Officially Xerox, but 0:0:0:0:0:0 is more common",0,0,00:00:00:00:00:00,00:00:00_00:00:00,0,"Officially Xerox, but 0:0:0:0:0:0 is more common",0,0,0x0800,0,4,20,0x00,0,0,66,0xc420,0x02,0,1,0,0,64,6,0x7893,1,0x7893,127.0.0.1,127.0.0.1,kubernetes.docker.internal,kubernetes.docker.internal,127.0.0.1,kubernetes.docker.internal,0,33718,13400,13400,0,20,31,0,1,1,1,1,1,·FDASS,14,339061335,339061335,339061349,2137157235,2137157235,32,0x0018,0,0,0,0,0,1,1,0,0,0,·······AP···,512,65536,128,0xfe36,2,0,01:01:08:0a:dc:4b:e1:43:dc:4b:e1:40,01,1,08:0a:dc:4b:e1:43:dc:4b:e1:40,8,10,3695960387,3695960384,0.031848000,0.000404000,02:fd:80:01:00:00:00:06:0e:00:10:32:10:01,14,0x02,0xfd,0x8001,6,0x0e00,0x1032,0x0e00,3584,0x1032,4146,0x1032,4146,0x10,0x00,,,,,,0,0x01,,,,,,,,,,,,
1,"Sep 18, 2024 11:35:32.215795000 W. Europe Daylight Time","Sep 18, 2024 09:35:32.215795000 UTC",1726652132.215795000,0.000000000,0.003960000,0.004781000,0.036629000,24,84,84,0,0,eth:ethertype:ip:tcp:doip:uds,TCP,tcp,00:00:00:00:00:00,00:00:00_00:00:00,0,"Officially Xerox, but 0:0:0:0:0:0 is more common",0,0,00:00:00:00:00:00,00:00:00_00:00:00,0,"Officially Xerox, but 0:0:0:0:0:0 is more common",0,0,00:00:00:00:00:00,00:00:00_00:00:00,0,"Officially Xerox, but 0:0:0:0:0:0 is more common",0,0,00:00:00:00:00:00,00:00:00_00:00:00,0,"Officially Xerox, but 0:0:0:0:0:0 is more common",0,0,0x0800,0,4,20,0x00,0,0,70,0x3678,0x02,0,1,0,0,64,6,0x0638,1,0x0638,127.0.0.1,127.0.0.1,kubernetes.docker.internal,kubernetes.docker.internal,127.0.0.1,kubernetes.docker.internal,0,13400,33718,33718,0,22,31,0,1,1,1,1,1,·FDASS,18,2137157248,2137157248,2137157266,339061349,339061349,32,0x0018,0,0,0,0,0,1,1,0,0,0,·······AP···,512,65536,128,0xfe3a,2,0,01:01:08:0a:dc:4b:e1:48:dc:4b:e1:43,01,1,08:0a:dc:4b:e1:48:dc:4b:e1:43,8,10,3695960392,3695960387,0.036629000,0.003960000,02:fd:80:01:00:00:00:0a:10:32:0e:00:50:01:00:32:01:f4,18,0x02,0xfd,0x8001,10,0x1032,0x0e00,0x1032,4146,0x0e00,3584,0x0e00,3584,0x10,0x01,,,,,,0,0x01,00:32:01:f4,50,5000,,,,,,,,,
1,"Sep 18, 2024 11:35:32.221380000 W. Europe Daylight Time","Sep 18, 2024 09:35:32.221380000 UTC",1726652132.221380000,0.000000000,0.000240000,0.005585000,0.042214000,38,80,80,0,0,eth:ethertype:ip:tcp:doip:uds,TCP,tcp,00:00:00:00:00:00,00:00:00_00:00:00,0,"Officially Xerox, but 0:0:0:0:0:0 is more common",0,0,00:00:00:00:00:00,00:00:00_00:00:00,0,"Officially Xerox, but 0:0:0:0:0:0 is more common",0,0,00:00:00:00:00:00,00:00:00_00:00:00,0,"Officially Xerox, but 0:0:0:0:0:0 is more common",0,0,00:00:00:00:00:00,00:00:00_00:00:00,0,"Officially Xerox, but 0:0:0:0:0:0 is more common",0,0,0x0800,0,4,20,0x00,0,0,66,0x9686,0x02,0,1,0,0,64,6,0xa62d,1,0xa62d,127.0.0.1,127.0.0.1,kubernetes.docker.internal,kubernetes.docker.internal,127.0.0.1,kubernetes.docker.internal,0,33732,13400,13400,1,8,31,0,1,1,1,1,1,·FDASS,14,2845673938,2845673938,2845673952,1111181943,1111181943,32,0x0018,0,0,0,0,0,1,1,0,0,0,·······AP···,512,65536,128,0xfe36,2,0,01:01:08:0a:dc:4b:e1:4d:dc:4b:e1:4c,01,1,08:0a:dc:4b:e1:4d:dc:4b:e1:4c,8,10,3695960397,3695960396,0.005104000,0.001782000,02:fd:80:01:00:00:00:06:0e:00:e0:01:3e:00,14,0x02,0xfd,0x8001,6,0x0e00,0xe001,0x0e00,3584,0xe001,57345,0xe001,57345,0x3e,0x00,0x00,0x00,0,,,,,,,,,,,,,,,,
1,"Sep 18, 2024 11:35:32.224424000 W. Europe Daylight Time","Sep 18, 2024 09:35:32.224424000 UTC",1726652132.224424000,0.000000000,0.001275000,0.003044000,0.045258000,40,80,80,0,0,eth:ethertype:ip:tcp:doip:uds,TCP,tcp,00:00:00:00:00:00,00:00:00_00:00:00,0,"Officially Xerox, but 0:0:0:0:0:0 is more common",0,0,00:00:00:00:00:00,00:00:00_00:00:00,0,"Officially Xerox, but 0:0:0:0:0:0 is more common",0,0,00:00:00:00:00:00,00:00:00_00:00:00,0,"Officially Xerox, but 0:0:0:0:0:0 is more common",0,0,00:00:00:00:00:00,00:00:00_00:00:00,0,"Officially Xerox, but 0:0:0:0:0:0 is more common",0,0,0x0800,0,4,20,0x00,0,0,66,0x0e11,0x02,0,1,0,0,64,6,0x2ea3,1,0x2ea3,127.0.0.1,127.0.0.1,kubernetes.docker.internal,kubernetes.docker.internal,127.0.0.1,kubernetes.docker.internal,0,13400,33732,33732,1,10,31,0,1,1,1,1,1,·FDASS,14,1111181956,1111181956,1111181970,2845673952,2845673952,32,0x0018,0,0,0,0,0,1,1,0,0,0,·······AP···,512,65536,128,0xfe36,2,0,01:01:08:0a:dc:4b:e1:50:dc:4b:e1:4d,01,1,08:0a:dc:4b:e1:50:dc:4b:e1:4d,8,10,3695960400,3695960397,0.008148000,0.001275000,02:fd:80:01:00:00:00:06:e0:01:0e:00:7e:00,14,0x02,0xfd,0x8001,6,0xe001,0x0e00,0xe001,57345,0x0e00,3584,0x0e00,3584,0x3e,0x01,0x00,0x00,,,,,,,,,,,,,,,,,
