packet_number,timestamp,source,destination,reply
10,2024-09-18 10:19:20,127.0.0.1,127.0.0.1,3e00
12,2024-09-18 10:19:20,127.0.0.1,127.0.0.1,7e00
14,2024-09-18 10:19:20,127.0.0.1,127.0.0.1,3e80
16,2024-09-18 10:19:20,127.0.0.1,127.0.0.1,7e80
18,2024-09-18 10:19:20,127.0.0.1,127.0.0.1,22f190
20,2024-09-18 10:19:20,127.0.0.1,127.0.0.1,62f1904d41543132333435363738393031323334
22,2024-09-18 10:19:20,127.0.0.1,127.0.0.1,1001
24,2024-09-18 10:19:20,127.0.0.1,127.0.0.1,5001003201f4
38,2024-09-18 10:19:20,127.0.0.1,127.0.0.1,3e00
40,2024-09-18 10:19:20,127.0.0.1,127.0.0.1,7e00
42,2024-09-18 10:19:20,127.0.0.1,127.0.0.1,3e80
44,2024-09-18 10:19:20,127.0.0.1,127.0.0.1,7e80
46,2024-09-18 10:19:20,127.0.0.1,127.0.0.1,22f190
48,2024-09-18 10:19:20,127.0.0.1,127.0.0.1,62f1904d41543132333435363738393031323334
50,2024-09-18 10:19:20,127.0.0.1,127.0.0.1,1001
52,2024-09-18 10:19:20,127.0.0.1,127.0.0.1,7f1011
