frame.frame.encap_type,frame.frame.time,frame.frame.time_utc,frame.frame.time_epoch,frame.frame.offset_shift,frame.frame.time_delta,frame.frame.time_delta_displayed,frame.frame.time_relative,frame.frame.number,frame.frame.len,frame.frame.cap_len,frame.frame.marked,frame.frame.ignored,frame.frame.protocols,frame.frame.coloring_rule.name,frame.frame.coloring_rule.string,eth.eth.dst,eth.eth.dst_tree.eth.dst_resolved,eth.eth.dst_tree.eth.dst.oui,eth.eth.dst_tree.eth.dst.oui_resolved,eth.eth.dst_tree.eth.dst.lg,eth.eth.dst_tree.eth.dst.ig,eth.eth.dst_tree.eth.addr,eth.eth.dst_tree.eth.addr_resolved,eth.eth.dst_tree.eth.addr.oui,eth.eth.dst_tree.eth.addr.oui_resolved,eth.eth.dst_tree.eth.lg,eth.eth.dst_tree.eth.ig,eth.eth.src,eth.eth.src_tree.eth.src_resolved,eth.eth.src_tree.eth.src.oui,eth.eth.src_tree.eth.src.oui_resolved,eth.eth.src_tree.eth.src.lg,eth.eth.src_tree.eth.src.ig,eth.eth.src_tree.eth.addr,eth.eth.src_tree.eth.addr_resolved,eth.eth.src_tree.eth.addr.oui,eth.eth.src_tree.eth.addr.oui_resolved,eth.eth.src_tree.eth.lg,eth.eth.src_tree.eth.ig,eth.eth.type,eth.eth.stream,ip.ip.version,ip.ip.hdr_len,ip.ip.dsfield,ip.ip.dsfield_tree.ip.dsfield.dscp,ip.ip.dsfield_tree.ip.dsfield.ecn,ip.ip.len,ip.ip.id,ip.ip.flags,ip.ip.flags_tree.ip.flags.rb,ip.ip.flags_tree.ip.flags.df,ip.ip.flags_tree.ip.flags.mf,ip.ip.frag_offset,ip.ip.ttl,ip.ip.proto,ip.ip.checksum,ip.ip.checksum.status,ip.ip.checksum_calculated,ip.ip.src,ip.ip.addr,ip.ip.src_host,ip.ip.host,ip.ip.dst,ip.ip.dst_host,ip.ip.stream,tcp.tcp.srcport,tcp.tcp.dstport,tcp.tcp.port,tcp.tcp.stream,tcp.tcp.stream.pnum,tcp.tcp.completeness,tcp.tcp.completeness_tree.tcp.completeness.rst,tcp.tcp.completeness_tree.tcp.completeness.fin,tcp.tcp.completeness_tree.tcp.completeness.data,tcp.tcp.completeness_tree.tcp.completeness.ack,tcp.tcp.completeness_tree.tcp.completeness.syn-ack,tcp.tcp.completeness_tree.tcp.completeness.syn,tcp.tcp.completeness_tree.tcp.completeness.str,tcp.tcp.len,tcp.tcp.seq,tcp.tcp.seq_raw,tcp.tcp.nxtseq,tcp.tcp.ack,tcp.tcp.ack_raw,tcp.tcp.hdr_len,tcp.tcp.flags,tcp.tcp.flags_tree.tcp.flags.res,tcp.tcp.flags_tree.tcp.flags.ae,tcp.tcp.flags_tree.tcp.flags.cwr,tcp.tcp.flags_tree.tcp.flags.ece,tcp.tcp.flags_tree.tcp.flags.urg,tcp.tcp.flags_tree.tcp.flags.ack,tcp.tcp.flags_tree.tcp.flags.push,tcp.tcp.flags_tree.tcp.flags.reset,tcp.tcp.flags_tree.tcp.flags.syn,tcp.tcp.flags_tree.tcp.flags.fin,tcp.tcp.flags_tree.tcp.flags.str,tcp.tcp.window_size_value,tcp.tcp.window_size,tcp.tcp.window_size_scalefactor,tcp.tcp.checksum,tcp.tcp.checksum.status,tcp.tcp.urgent_pointer,tcp.tcp.options,tcp.tcp.options_tree.tcp.options.nop,tcp.tcp.options_tree.tcp.options.nop_tree.tcp.option_kind,tcp.tcp.options_tree.tcp.options.timestamp,tcp.tcp.options_tree.tcp.options.timestamp_tree.tcp.option_kind,tcp.tcp.options_tree.tcp.options.timestamp_tree.tcp.option_len,tcp.tcp.options_tree.tcp.options.timestamp_tree.tcp.options.timestamp.tsval,tcp.tcp.options_tree.tcp.options.timestamp_tree.tcp.options.timestamp.tsecr,tcp.Timestamps.tcp.time_relative,tcp.Timestamps.tcp.time_delta,tcp.tcp.payload,tcp.tcp.pdu.size,doip.Header.doip.version,doip.Header.doip.inverse,doip.Header.doip.type,doip.Header.doip.length,doip.doip.source_address,doip.doip.target_address,uds.uds.diag_addr_source,uds.uds.diag_addr_source_name,uds.uds.diag_addr,uds.uds.diag_addr_name,uds.uds.diag_addr_target,uds.uds.diag_addr_target_name,uds.uds.sid,uds.uds.reply,uds.uds.subfunction,uds.uds.subfunction_tree.uds.tp.subfunction_without_suppress,uds.uds.subfunction_tree.uds.suppress_reply.indication,uds.uds.rdbi.data_identifier,uds.uds.did_f190.vin,uds.uds.dsc.suppress_reply.indication,uds.uds.dsc.subfunction,uds.uds.dsc.parameter_record,uds.uds.dsc.parameter_record_tree.uds.dsc.p2_server_time_default,uds.uds.dsc.parameter_record_tree.uds.dsc.p2_server_time_enhanced,_ws.malformed._ws.expert._ws.malformed.expert,_ws.malformed._ws.expert._ws.expert.message,_ws.malformed._ws.expert._ws.expert.severity,_ws.malformed._ws.expert._ws.expert.group,_ws.malformed._ws.malformed,uds.uds.sa.subfunction,uds.uds.sa.seed,uds.uds.sa.key,uds.uds.rc.subfunction,uds.uds.rc.identifier,uds.uds.rc.info
1,"Sep 18, 2024 11:42:35.983218000 W. Europe Daylight Time","Sep 18, 2024 09:42:35.983218000 UTC",1726652555.983218000,0.000000000,0.000269000,0.000000000,0.020466000,10,80,80,0,0,eth:ethertype:ip:tcp:doip:uds,TCP,tcp,00:00:00:00:00:00,00:00:00_00:00:00,0,"Officially Xerox, but 0:0:0:0:0:0 is more common",0,0,00:00:00:00:00:00,00:00:00_00:00:00,0,"Officially Xerox, but 0:0:0:0:0:0 is more common",0,0,00:00:00:00:00:00,00:00:00_00:00:00,0,"Officially Xerox, but 0:0:0:0:0:0 is more common",0,0,00:00:00:00:00:00,00:00:00_00:00:00,0,"Officially Xerox, but 0:0:0:0:0:0 is more common",0,0,0x0800,0,4,20,0x00,0,0,66,0xcbcb,0x02,0,1,0,0,64,6,0x70e8,1,0x70e8,127.0.0.1,127.0.0.1,kubernetes.docker.internal,kubernetes.docker.internal,127.0.0.1,kubernetes.docker.internal,0,46308,13400,13400,0,8,31,0,1,1,1,1,1,·FDASS,14,3833683418,3833683418,3833683432,2551994073,2551994073,32,0x0018,0,0,0,0,0,1,1,0,0,0,·······AP···,512,65536,128,0xfe36,2,0,01:01:08:0a:dc:52:58:9f:dc:52:58:9b,01,1,08:0a:dc:52:58:9f:dc:52:58:9b,8,10,3696384159,3696384155,0.020466000,0.003652000,02:fd:80:01:00:00:00:06:0e:00:10:32:3e:00,14,0x02,0xfd,0x8001,6,0x0e00,0x1032,0x0e00,3584,0x1032,4146,0x1032,4146,0x3e,0x00,0x00,0x00,0,,,,,,,,,,,,,,,,,,
1,"Sep 18, 2024 11:42:35.987389000 W. Europe Daylight Time","Sep 18, 2024 09:42:35.987389000 UTC",1726652555.987389000,0.000000000,0.002420000,0.004171000,0.024637000,12,80,80,0,0,eth:ethertype:ip:tcp:doip:uds,TCP,tcp,00:00:00:00:00:00,00:00:00_00:00:00,0,"Officially Xerox, but 0:0:0:0:0:0 is more common",0,0,00:00:00:00:00:00,00:00:00_00:00:00,0,"Officially Xerox, but 0:0:0:0:0:0 is more common",0,0,00:00:00:00:00:00,00:00:00_00:00:00,0,"Officially Xerox, but 0:0:0:0:0:0 is more common",0,0,00:00:00:00:00:00,00:00:00_00:00:00,0,"Officially Xerox, but 0:0:0:0:0:0 is more common",0,0,0x0800,0,4,20,0x00,0,0,66,0x0ba7,0x02,0,1,0,0,64,6,0x310d,1,0x310d,127.0.0.1,127.0.0.1,kubernetes.docker.internal,kubernetes.docker.internal,127.0.0.1,kubernetes.docker.internal,0,13400,46308,46308,0,10,31,0,1,1,1,1,1,·FDASS,14,2551994086,2551994086,2551994100,3833683432,3833683432,32,0x0018,0,0,0,0,0,1,1,0,0,0,·······AP···,512,65536,128,0xfe36,2,0,01:01:08:0a:dc:52:58:a3:dc:52:58:9f,01,1,08:0a:dc:52:58:a3:dc:52:58:9f,8,10,3696384163,3696384159,0.024637000,0.002420000,02:fd:80:01:00:00:00:06:10:32:0e:00:7e:00,14,0x02,0xfd,0x8001,6,0x1032,0x0e00,0x1032,4146,0x0e00,3584,0x0e00,3584,0x3e,0x01,0x00,0x00,,,,,,,,,,,,,,,,,,,
1,"Sep 18, 2024 11:42:35.987573000 W. Europe Daylight Time","Sep 18, 2024 09:42:35.987573000 UTC",1726652555.987573000,0.000000000,0.000141000,0.000184000,0.024821000,14,80,80,0,0,eth:ethertype:ip:tcp:doip:uds,TCP,tcp,00:00:00:00:00:00,00:00:00_00:00:00,0,"Officially Xerox, but 0:0:0:0:0:0 is more common",0,0,00:00:00:00:00:00,00:00:00_00:00:00,0,"Officially Xerox, but 0:0:0:0:0:0 is more common",0,0,00:00:00:00:00:00,00:00:00_00:00:00,0,"Officially Xerox, but 0:0:0:0:0:0 is more common",0,0,00:00:00:00:00:00,00:00:00_00:00:00,0,"Officially Xerox, but 0:0:0:0:0:0 is more common",0,0,0x0800,0,4,20,0x00,0,0,66,0xcbcd,0x02,0,1,0,0,64,6,0x70e6,1,0x70e6,127.0.0.1,127.0.0.1,kubernetes.docker.internal,kubernetes.docker.internal,127.0.0.1,kubernetes.docker.internal,0,46308,13400,13400,0,12,31,0,1,1,1,1,1,·FDASS,14,3833683432,3833683432,3833683446,2551994100,2551994100,32,0x0018,0,0,0,0,0,1,1,0,0,0,·······AP···,512,65536,128,0xfe36,2,0,01:01:08:0a:dc:52:58:a4:dc:52:58:a1,01,1,08:0a:dc:52:58:a4:dc:52:58:a1,8,10,3696384164,3696384161,0.024821000,0.000141000,02:fd:80:01:00:00:00:06:0e:00:10:32:3e:80,14,0x02,0xfd,0x8001,6,0x0e00,0x1032,0x0e00,3584,0x1032,4146,0x1032,4146,0x3e,0x00,0x80,0x00,1,,,,,,,,,,,,,,,,,,
1,"Sep 18, 2024 11:42:35.990615000 W. Europe Daylight Time","Sep 18, 2024 09:42:35.990615000 UTC",1726652555.990615000,0.000000000,0.001946000,0.003042000,0.027863000,16,80,80,0,0,eth:ethertype:ip:tcp:doip:uds,TCP,tcp,00:00:00:00:00:00,00:00:00_00:00:00,0,"Officially Xerox, but 0:0:0:0:0:0 is more common",0,0,00:00:00:00:00:00,00:00:00_00:00:00,0,"Officially Xerox, but 0:0:0:0:0:0 is more common",0,0,00:00:00:00:00:00,00:00:00_00:00:00,0,"Officially Xerox, but 0:0:0:0:0:0 is more common",0,0,00:00:00:00:00:00,00:00:00_00:00:00,0,"Officially Xerox, but 0:0:0:0:0:0 is more common",0,0,0x0800,0,4,20,0x00,0,0,66,0x0ba9,0x02,0,1,0,0,64,6,0x310b,1,0x310b,127.0.0.1,127.0.0.1,kubernetes.docker.internal,kubernetes.docker.internal,127.0.0.1,kubernetes.docker.internal,0,13400,46308,46308,0,14,31,0,1,1,1,1,1,·FDASS,14,2551994113,2551994113,2551994127,3833683446,3833683446,32,0x0018,0,0,0,0,0,1,1,0,0,0,·······AP···,512,65536,128,0xfe36,2,0,01:01:08:0a:dc:52:58:a7:dc:52:58:a4,01,1,08:0a:dc:52:58:a7:dc:52:58:a4,8,10,3696384167,3696384164,0.027863000,0.001946000,02:fd:80:01:00:00:00:06:10:32:0e:00:7e:80,14,0x02,0xfd,0x8001,6,0x1032,0x0e00,0x1032,4146,0x0e00,3584,0x0e00,3584,0x3e,0x01,0x80,0x00,,,,,,,,,,,,,,,,,,,
1,"Sep 18, 2024 11:42:35.990856000 W. Europe Daylight Time","Sep 18, 2024 09:42:35.990856000 UTC",1726652555.990856000,0.000000000,0.000187000,0.000241000,0.028104000,18,81,81,0,0,eth:ethertype:ip:tcp:doip:uds,TCP,tcp,00:00:00:00:00:00,00:00:00_00:00:00,0,"Officially Xerox, but 0:0:0:0:0:0 is more common",0,0,00:00:00:00:00:00,00:00:00_00:00:00,0,"Officially Xerox, but 0:0:0:0:0:0 is more common",0,0,00:00:00:00:00:00,00:00:00_00:00:00,0,"Officially Xerox, but 0:0:0:0:0:0 is more common",0,0,00:00:00:00:00:00,00:00:00_00:00:00,0,"Officially Xerox, but 0:0:0:0:0:0 is more common",0,0,0x0800,0,4,20,0x00,0,0,67,0xcbcf,0x02,0,1,0,0,64,6,0x70e3,1,0x70e3,127.0.0.1,127.0.0.1,kubernetes.docker.internal,kubernetes.docker.internal,127.0.0.1,kubernetes.docker.internal,0,46308,13400,13400,0,16,31,0,1,1,1,1,1,·FDASS,15,3833683446,3833683446,3833683461,2551994127,2551994127,32,0x0018,0,0,0,0,0,1,1,0,0,0,·······AP···,512,65536,128,0xfe37,2,0,01:01:08:0a:dc:52:58:a7:dc:52:58:a5,01,1,08:0a:dc:52:58:a7:dc:52:58:a5,8,10,3696384167,3696384165,0.028104000,0.000187000,02:fd:80:01:00:00:00:07:0e:00:10:32:22:f1:90,15,0x02,0xfd,0x8001,7,0x0e00,0x1032,0x0e00,3584,0x1032,4146,0x1032,4146,0x22,0x00,,,,0xf190,,,,,,,,,,,,,,,,,
1,"Sep 18, 2024 11:42:35.995247000 W. Europe Daylight Time","Sep 18, 2024 09:42:35.995247000 UTC",1726652555.995247000,0.000000000,0.003303000,0.004391000,0.032495000,20,98,98,0,0,eth:ethertype:ip:tcp:doip:uds,TCP,tcp,00:00:00:00:00:00,00:00:00_00:00:00,0,"Officially Xerox, but 0:0:0:0:0:0 is more common",0,0,00:00:00:00:00:00,00:00:00_00:00:00,0,"Officially Xerox, but 0:0:0:0:0:0 is more common",0,0,00:00:00:00:00:00,00:00:00_00:00:00,0,"Officially Xerox, but 0:0:0:0:0:0 is more common",0,0,00:00:00:00:00:00,00:00:00_00:00:00,0,"Officially Xerox, but 0:0:0:0:0:0 is more common",0,0,0x0800,0,4,20,0x00,0,0,84,0x0bab,0x02,0,1,0,0,64,6,0x30f7,1,0x30f7,127.0.0.1,127.0.0.1,kubernetes.docker.internal,kubernetes.docker.internal,127.0.0.1,kubernetes.docker.internal,0,13400,46308,46308,0,18,31,0,1,1,1,1,1,·FDASS,32,2551994140,2551994140,2551994172,3833683461,3833683461,32,0x0018,0,0,0,0,0,1,1,0,0,0,·······AP···,512,65536,128,0xfe48,2,0,01:01:08:0a:dc:52:58:ab:dc:52:58:a7,01,1,08:0a:dc:52:58:ab:dc:52:58:a7,8,10,3696384171,3696384167,0.032495000,0.003303000,02:fd:80:01:00:00:00:18:10:32:0e:00:62:f1:90:4d:41:54:31:32:33:34:35:36:37:38:39:30:31:32:33:34,32,0x02,0xfd,0x8001,24,0x1032,0x0e00,0x1032,4146,0x0e00,3584,0x0e00,3584,0x22,0x01,,,,0xf190,MAT12345678901234,,,,,,,,,,,,,,,,
1,"Sep 18, 2024 11:42:35.995491000 W. Europe Daylight Time","Sep 18, 2024 09:42:35.995491000 UTC",1726652555.995491000,0.000000000,0.000199000,0.000244000,0.032739000,22,80,80,0,0,eth:ethertype:ip:tcp:doip:uds,TCP,tcp,00:00:00:00:00:00,00:00:00_00:00:00,0,"Officially Xerox, but 0:0:0:0:0:0 is more common",0,0,00:00:00:00:00:00,00:00:00_00:00:00,0,"Officially Xerox, but 0:0:0:0:0:0 is more common",0,0,00:00:00:00:00:00,00:00:00_00:00:00,0,"Officially Xerox, but 0:0:0:0:0:0 is more common",0,0,00:00:00:00:00:00,00:00:00_00:00:00,0,"Officially Xerox, but 0:0:0:0:0:0 is more common",0,0,0x0800,0,4,20,0x00,0,0,66,0xcbd1,0x02,0,1,0,0,64,6,0x70e2,1,0x70e2,127.0.0.1,127.0.0.1,kubernetes.docker.internal,kubernetes.docker.internal,127.0.0.1,kubernetes.docker.internal,0,46308,13400,13400,0,20,31,0,1,1,1,1,1,·FDASS,14,3833683461,3833683461,3833683475,2551994172,2551994172,32,0x0018,0,0,0,0,0,1,1,0,0,0,·······AP···,512,65536,128,0xfe36,2,0,01:01:08:0a:dc:52:58:ab:dc:52:58:a8,01,1,08:0a:dc:52:58:ab:dc:52:58:a8,8,10,3696384171,3696384168,0.032739000,0.000199000,02:fd:80:01:00:00:00:06:0e:00:10:32:10:01,14,0x02,0xfd,0x8001,6,0x0e00,0x1032,0x0e00,3584,0x1032,4146,0x1032,4146,0x10,0x00,,,,,,0,0x01,,,,,,,,,,,,,,
1,"Sep 18, 2024 11:42:35.997602000 W. Europe Daylight Time","Sep 18, 2024 09:42:35.997602000 UTC",1726652555.997602000,0.000000000,0.001413000,0.002111000,0.034850000,24,84,84,0,0,eth:ethertype:ip:tcp:doip:uds,TCP,tcp,00:00:00:00:00:00,00:00:00_00:00:00,0,"Officially Xerox, but 0:0:0:0:0:0 is more common",0,0,00:00:00:00:00:00,00:00:00_00:00:00,0,"Officially Xerox, but 0:0:0:0:0:0 is more common",0,0,00:00:00:00:00:00,00:00:00_00:00:00,0,"Officially Xerox, but 0:0:0:0:0:0 is more common",0,0,00:00:00:00:00:00,00:00:00_00:00:00,0,"Officially Xerox, but 0:0:0:0:0:0 is more common",0,0,0x0800,0,4,20,0x00,0,0,70,0x0bad,0x02,0,1,0,0,64,6,0x3103,1,0x3103,127.0.0.1,127.0.0.1,kubernetes.docker.internal,kubernetes.docker.internal,127.0.0.1,kubernetes.docker.internal,0,13400,46308,46308,0,22,31,0,1,1,1,1,1,·FDASS,18,2551994185,2551994185,2551994203,3833683475,3833683475,32,0x0018,0,0,0,0,0,1,1,0,0,0,·······AP···,512,65536,128,0xfe3a,2,0,01:01:08:0a:dc:52:58:ae:dc:52:58:ab,01,1,08:0a:dc:52:58:ae:dc:52:58:ab,8,10,3696384174,3696384171,0.034850000,0.001413000,02:fd:80:01:00:00:00:0a:10:32:0e:00:50:01:00:32:01:f4,18,0x02,0xfd,0x8001,10,0x1032,0x0e00,0x1032,4146,0x0e00,3584,0x0e00,3584,0x10,0x01,,,,,,0,0x01,00:32:01:f4,50,5000,,,,,,,,,,,
1,"Sep 18, 2024 11:42:36.001867000 W. Europe Daylight Time","Sep 18, 2024 09:42:36.001867000 UTC",1726652556.001867000,0.000000000,0.000205000,0.004265000,0.039115000,38,80,80,0,0,eth:ethertype:ip:tcp:doip:uds,TCP,tcp,00:00:00:00:00:00,00:00:00_00:00:00,0,"Officially Xerox, but 0:0:0:0:0:0 is more common",0,0,00:00:00:00:00:00,00:00:00_00:00:00,0,"Officially Xerox, but 0:0:0:0:0:0 is more common",0,0,00:00:00:00:00:00,00:00:00_00:00:00,0,"Officially Xerox, but 0:0:0:0:0:0 is more common",0,0,00:00:00:00:00:00,00:00:00_00:00:00,0,"Officially Xerox, but 0:0:0:0:0:0 is more common",0,0,0x0800,0,4,20,0x00,0,0,66,0x9341,0x02,0,1,0,0,64,6,0xa972,1,0xa972,127.0.0.1,127.0.0.1,kubernetes.docker.internal,kubernetes.docker.internal,127.0.0.1,kubernetes.docker.internal,0,46314,13400,13400,1,8,31,0,1,1,1,1,1,·FDASS,14,3590559553,3590559553,3590559567,1621746715,1621746715,32,0x0018,0,0,0,0,0,1,1,0,0,0,·······AP···,512,65536,128,0xfe36,2,0,01:01:08:0a:dc:52:58:b2:dc:52:58:b1,01,1,08:0a:dc:52:58:b2:dc:52:58:b1,8,10,3696384178,3696384177,0.003807000,0.001108000,02:fd:80:01:00:00:00:06:0e:00:e0:01:3e:00,14,0x02,0xfd,0x8001,6,0x0e00,0xe001,0x0e00,3584,0xe001,57345,0xe001,57345,0x3e,0x00,0x00,0x00,0,,,,,,,,,,,,,,,,,,
1,"Sep 18, 2024 11:42:36.004424000 W. Europe Daylight Time","Sep 18, 2024 09:42:36.004424000 UTC",1726652556.004424000,0.000000000,0.001747000,0.002557000,0.041672000,40,80,80,0,0,eth:ethertype:ip:tcp:doip:uds,TCP,tcp,00:00:00:00:00:00,00:00:00_00:00:00,0,"Officially Xerox, but 0:0:0:0:0:0 is more common",0,0,00:00:00:00:00:00,00:00:00_00:00:00,0,"Officially Xerox, but 0:0:0:0:0:0 is more common",0,0,00:00:00:00:00:00,00:00:00_00:00:00,0,"Officially Xerox, but 0:0:0:0:0:0 is more common",0,0,00:00:00:00:00:00,00:00:00_00:00:00,0,"Officially Xerox, but 0:0:0:0:0:0 is more common",0,0,0x0800,0,4,20,0x00,0,0,66,0x550a,0x02,0,1,0,0,64,6,0xe7a9,1,0xe7a9,127.0.0.1,127.0.0.1,kubernetes.docker.internal,kubernetes.docker.internal,127.0.0.1,kubernetes.docker.internal,0,13400,46314,46314,1,10,31,0,1,1,1,1,1,·FDASS,14,1621746728,1621746728,1621746742,3590559567,3590559567,32,0x0018,0,0,0,0,0,1,1,0,0,0,·······AP···,512,65536,128,0xfe36,2,0,01:01:08:0a:dc:52:58:b4:dc:52:58:b2,01,1,08:0a:dc:52:58:b4:dc:52:58:b2,8,10,3696384180,3696384178,0.006364000,0.001747000,02:fd:80:01:00:00:00:06:e0:01:0e:00:7e:00,14,0x02,0xfd,0x8001,6,0xe001,0x0e00,0xe001,57345,0x0e00,3584,0x0e00,3584,0x3e,0x01,0x00,0x00,,,,,,,,,,,,,,,,,,,
