packet_number,timestamp,source,destination,reply
138,2024-09-12 16:50:27,127.0.0.1,127.0.0.1,3e00
141,2024-09-12 16:50:27,127.0.0.1,127.0.0.1,7e00
144,2024-09-12 16:50:27,127.0.0.1,127.0.0.1,3e80
147,2024-09-12 16:50:27,127.0.0.1,127.0.0.1,7e80
149,2024-09-12 16:50:27,127.0.0.1,127.0.0.1,22f190
153,2024-09-12 16:50:27,127.0.0.1,127.0.0.1,7f1010
155,2024-09-12 16:50:27,127.0.0.1,127.0.0.1,1001
158,2024-09-12 16:50:27,127.0.0.1,127.0.0.1,5001003201f4
160,2024-09-12 16:50:27,127.0.0.1,127.0.0.1,1002
162,2024-09-12 16:50:27,127.0.0.1,127.0.0.1,5002003201f4
164,2024-09-12 16:50:27,127.0.0.1,127.0.0.1,1003
167,2024-09-12 16:50:27,127.0.0.1,127.0.0.1,5003003201f4
170,2024-09-12 16:50:27,127.0.0.1,127.0.0.1,1000
176,2024-09-12 16:50:27,127.0.0.1,127.0.0.1,5000
178,2024-09-12 16:50:27,127.0.0.1,127.0.0.1,22f19e
186,2024-09-12 16:50:27,127.0.0.1,127.0.0.1,62f19e45565f544355
188,2024-09-12 16:50:27,127.0.0.1,127.0.0.1,22f1a2
191,2024-09-12 16:50:27,127.0.0.1,127.0.0.1,62f1a25632
193,2024-09-12 16:50:27,127.0.0.1,127.0.0.1,22f186
197,2024-09-12 16:50:27,127.0.0.1,127.0.0.1,62f18601
215,2024-09-12 16:50:27,127.0.0.1,127.0.0.1,3e00
220,2024-09-12 16:50:27,127.0.0.1,127.0.0.1,7e00
222,2024-09-12 16:50:27,127.0.0.1,127.0.0.1,3e80
227,2024-09-12 16:50:27,127.0.0.1,127.0.0.1,7e80
231,2024-09-12 16:50:27,127.0.0.1,127.0.0.1,22f190
234,2024-09-12 16:50:27,127.0.0.1,127.0.0.1,7f1010
236,2024-09-12 16:50:27,127.0.0.1,127.0.0.1,1002
240,2024-09-12 16:50:27,127.0.0.1,127.0.0.1,7f1010
