packet_number,timestamp,source,destination,reply
413,2024-09-12 16:48:21,127.0.0.1,127.0.0.1,3e00
420,2024-09-12 16:48:21,127.0.0.1,127.0.0.1,7e00
422,2024-09-12 16:48:21,127.0.0.1,127.0.0.1,3e80
425,2024-09-12 16:48:21,127.0.0.1,127.0.0.1,7e80
427,2024-09-12 16:48:21,127.0.0.1,127.0.0.1,22f190
434,2024-09-12 16:48:21,127.0.0.1,127.0.0.1,7f1010
436,2024-09-12 16:48:21,127.0.0.1,127.0.0.1,1001
442,2024-09-12 16:48:21,127.0.0.1,127.0.0.1,5001003201f4
444,2024-09-12 16:48:21,127.0.0.1,127.0.0.1,1002
448,2024-09-12 16:48:21,127.0.0.1,127.0.0.1,5002003201f4
450,2024-09-12 16:48:21,127.0.0.1,127.0.0.1,1003
455,2024-09-12 16:48:21,127.0.0.1,127.0.0.1,5003003201f4
459,2024-09-12 16:48:21,127.0.0.1,127.0.0.1,1000
462,2024-09-12 16:48:21,127.0.0.1,127.0.0.1,5000
464,2024-09-12 16:48:21,127.0.0.1,127.0.0.1,22f19e
468,2024-09-12 16:48:21,127.0.0.1,127.0.0.1,62f19e45565f544355
470,2024-09-12 16:48:21,127.0.0.1,127.0.0.1,22f1a2
473,2024-09-12 16:48:21,127.0.0.1,127.0.0.1,62f1a25632
475,2024-09-12 16:48:21,127.0.0.1,127.0.0.1,22f186
480,2024-09-12 16:48:21,127.0.0.1,127.0.0.1,62f18601
